month,year,plot,stake,species,abundance
July,1988,1,11,cono insa,20
July,1988,1,11,sole sp,60
July,1988,1,13,sole sp,20
July,1988,1,15,pogo dese,1
July,1988,1,17,sole sp,50
July,1988,1,22,sole xylo,60
July,1988,1,24,novo cock,1
July,1988,1,24,phei xero,20
July,1988,1,26,phei dese,5
July,1988,1,26,sole sp,10
July,1988,1,31,phei xero,50
July,1988,1,33,sole sp,20
July,1988,1,35,sole sp,30
July,1988,1,37,phei xero,1
July,1988,1,37,sole sp,25
July,1988,1,42,cono insa,5
July,1988,1,42,phei xero,5
July,1988,1,42,sole sp,30
July,1988,1,44,pogo rugo,4
July,1988,1,44,sole sp,10
July,1988,1,46,phei xero,20
July,1988,1,46,sole xylo,20
July,1988,1,53,sole sp,60
July,1988,1,55,cono insa,5
July,1988,1,55,phei xero,10
July,1988,1,55,pogo dese,1
July,1988,1,57,phei xero,50
July,1988,1,62,sole sp,20
July,1988,1,64,phei sita,20
July,1988,1,66,sole sp,50
July,1988,1,71,sole sp,20
July,1988,1,73,phei xero,10
July,1988,1,73,sole sp,30
July,1988,1,75,cono insa,15
July,1988,1,75,phei xero,15
July,1988,1,77,irid prui,40
July,1988,2,11,phei xero,30
July,1988,2,13,sole sp,20
July,1988,2,15,sole sp,40
July,1988,2,17,sole sp,30
July,1988,2,22,cono insa,10
July,1988,2,22,phei xero,5
July,1988,2,24,pogo dese,20
July,1988,2,24,sole sp,30
July,1988,2,26,novo cock,2
July,1988,2,26,sole sp,10
July,1988,2,33,sole sp,50
July,1988,2,35,novo cock,2
July,1988,2,35,sole sp,30
July,1988,2,37,sole sp,60
July,1988,2,42,pogo dese,8
July,1988,2,42,sole sp,20
July,1988,2,44,sole sp,40
July,1988,2,46,sole sp,50
July,1988,2,51,phei xero,50
July,1988,2,53,sole sp,25
July,1988,2,55,pogo rugo,3
July,1988,2,55,sole sp,50
July,1988,2,57,sole sp,40
July,1988,2,62,sole sp,35
July,1988,2,64,pogo dese,1
July,1988,2,64,sole sp,50
July,1988,2,66,sole sp,30
July,1988,2,71,sole sp,40
July,1988,2,73,sole sp,50
July,1988,2,75,sole sp,25
July,1988,2,77,sole sp,30
July,1988,3,11,sole sp,40
July,1988,3,13,pogo dese,4
July,1988,3,13,sole sp,50
July,1988,3,15,pogo dese,10
July,1988,3,15,sole sp,20
July,1988,3,17,sole xylo,60
July,1988,3,22,sole sp,30
July,1988,3,24,pogo dese,25
July,1988,3,26,sole xylo,70
July,1988,3,31,sole sp,25
July,1988,3,33,sole sp,40
July,1988,3,35,sole sp,30
July,1988,3,37,sole sp,25
July,1988,3,42,sole sp,30
July,1988,3,44,novo cock,3
July,1988,3,44,pogo dese,3
July,1988,3,44,sole sp,30
July,1988,3,46,pogo dese,4
July,1988,3,46,sole sp,20
July,1988,3,51,sole sp,15
July,1988,3,53,pogo dese,2
July,1988,3,53,sole sp,40
July,1988,3,55,novo cock,1
July,1988,3,55,sole sp,30
July,1988,3,57,cono insa,3
July,1988,3,57,novo cock,1
July,1988,3,57,phei xero,5
July,1988,3,57,pogo dese,1
July,1988,3,57,pogo mari,2
July,1988,3,57,sole sp,10
July,1988,3,62,pogo dese,5
July,1988,3,62,sole sp,5
July,1988,3,64,pogo dese,1
July,1988,3,64,sole sp,25
July,1988,3,66,cono insa,1
July,1988,3,66,pogo mari,10
July,1988,3,66,sole sp,10
July,1988,3,71,novo cock,1
July,1988,3,71,pogo dese,30
July,1988,3,71,sole sp,10
July,1988,3,73,novo cock,1
July,1988,3,73,phei xero,10
July,1988,3,73,pogo dese,6
July,1988,3,73,sole sp,20
July,1988,3,75,cono insa,1
July,1988,3,75,novo cock,1
July,1988,3,75,phei xero,10
July,1988,3,75,pogo dese,2
July,1988,3,75,sole sp,5
July,1988,3,77,sole xylo,10
July,1988,4,11,cono insa,5
July,1988,4,11,phei xero,9
July,1988,4,13,cono insa,8
July,1988,4,13,sole xylo,15
July,1988,4,15,cono bico,5
July,1988,4,15,cono insa,2
July,1988,4,15,phei xero,1
July,1988,4,17,novo cock,3
July,1988,4,17,phei xero,5
July,1988,4,22,phei xero,2
July,1988,4,22,pogo mari,1
July,1988,4,22,sole xylo,10
July,1988,4,24,sole xylo,15
July,1988,4,26,cono insa,8
July,1988,4,26,novo cock,1
July,1988,4,26,pogo mari,3
July,1988,4,26,sole xylo,12
July,1988,4,31,phei sita,10
July,1988,4,31,pogo dese,4
July,1988,4,31,sole xylo,6
July,1988,4,33,cono insa,2
July,1988,4,33,phei xero,6
July,1988,4,33,pogo mari,1
July,1988,4,33,sole xylo,2
July,1988,4,35,phei xero,7
July,1988,4,35,sole xylo,25
July,1988,4,37,sole xylo,20
July,1988,4,42,phei sita,15
July,1988,4,42,phei xero,20
July,1988,4,44,cono insa,1
July,1988,4,44,myrm mimi,1
July,1988,4,44,sole xylo,8
July,1988,4,46,phei xero,15
July,1988,4,51,sole xylo,50
July,1988,4,53,sole xylo,20
July,1988,4,55,phei xero,4
July,1988,4,55,pogo mari,1
July,1988,4,55,sole xylo,10
July,1988,4,57,phei xero,10
July,1988,4,62,phei sita,35
July,1988,4,62,sole xylo,6
July,1988,4,64,pogo mari,1
July,1988,4,64,sole xylo,20
July,1988,4,66,phei xero,30
July,1988,4,71,cono insa,3
July,1988,4,71,myrm mimi,1
July,1988,4,71,sole xylo,20
July,1988,4,73,cono insa,2
July,1988,4,73,phei xero,8
July,1988,4,73,pogo mari,1
July,1988,4,73,sole xylo,2
July,1988,4,75,sole xylo,20
July,1988,4,77,phei sita,10
July,1988,4,77,sole xylo,7
July,1988,5,11,cono insa,1
July,1988,5,11,phei xero,1
July,1988,5,11,pogo mari,5
July,1988,5,13,sole xylo,10
July,1988,5,15,phei xero,3
July,1988,5,15,pogo dese,1
July,1988,5,15,pogo mari,1
July,1988,5,15,sole xylo,1
July,1988,5,17,phei xero,2
July,1988,5,17,sole xylo,15
July,1988,5,22,pogo mari,1
July,1988,5,22,sole xylo,30
July,1988,5,24,novo cock,1
July,1988,5,24,pogo dese,3
July,1988,5,24,sole sp,10
July,1988,5,26,cono insa,1
July,1988,5,26,phei xero,4
July,1988,5,26,pogo dese,4
July,1988,5,31,sole xylo,25
July,1988,5,33,pogo mari,1
July,1988,5,33,sole xylo,20
July,1988,5,35,cono insa,2
July,1988,5,35,sole xylo,30
July,1988,5,37,cono insa,2
July,1988,5,37,pogo mari,4
July,1988,5,37,sole xylo,7
July,1988,5,42,sole xylo,20
July,1988,5,44,phei sita,25
July,1988,5,44,pogo mari,6
July,1988,5,46,phei xero,8
July,1988,5,46,pogo dese,1
July,1988,5,46,sole xylo,4
July,1988,5,51,cono insa,1
July,1988,5,51,sole xylo,25
July,1988,5,53,pogo mari,8
July,1988,5,53,sole xylo,25
July,1988,5,55,novo cock,1
July,1988,5,55,pogo mari,7
July,1988,5,55,sole sp,25
July,1988,5,57,pogo mari,10
July,1988,5,57,sole xylo,2
July,1988,5,62,sole xylo,30
July,1988,5,64,phei sita,5
July,1988,5,64,pogo mari,10
July,1988,5,64,sole xylo,15
July,1988,5,66,cono insa,1
July,1988,5,66,novo cock,3
July,1988,5,66,pogo mari,10
July,1988,5,66,sole sp,5
July,1988,5,66,sole xylo,5
July,1988,5,71,phei sita,10
July,1988,5,71,sole xylo,20
July,1988,5,73,phei sita,10
July,1988,5,73,pogo mari,12
July,1988,5,75,novo cock,2
July,1988,5,75,phei xero,15
July,1988,5,75,sole xylo,20
July,1988,5,77,novo cock,1
July,1988,5,77,pogo mari,3
July,1988,5,77,sole xylo,20
July,1988,6,11,phei xero,9
July,1988,6,11,pogo mari,3
