prodID,satellite,year,month,day,stdev,mean,median,min,max,variance,numpixels,pctcloud,SLC
LT04_L1TP_034038_19821123_20161004_01_T1,4,1982,11,23,NA,NA,NA,Inf,#NAME?,NA,5625,100,
LT04_L1TP_035038_19830101_20161004_01_T1,4,1983,1,1,NA,NA,NA,Inf,#NAME?,NA,5625,100,
LT04_L1TP_034038_19830110_20161005_01_T1,4,1983,1,10,0.013496039,0.115410276,0.1173,0.0649,0.1894,0.000182143,5625,0,
LT04_L1TP_034038_19830126_20161004_01_T1,4,1983,1,26,0.01367576,0.123284373,0.1192,0.0814,0.193,0.000187026,5625,0,
LT05_L1TP_035038_19840417_20161004_01_T1,5,1984,4,17,0.012196927,0.165524942,0.165,0.1279,0.2298,0.000148765,5625,0,
LT05_L1TP_035038_19840503_20161004_01_T1,5,1984,5,3,0.010373359,0.148230311,0.148,0.1162,0.2217,0.000107607,5625,0,
LT05_L1TP_034038_19840512_20161004_01_T1,5,1984,5,12,0.009858097,0.143288836,0.1424,0.119,0.2174,9.72E-05,5625,0,
LT05_L1TP_035038_19840604_20161004_01_T1,5,1984,6,4,0.013140833,0.143843929,0.1417,0.1147,0.2366,0.000172681,5625,0,
LT05_L1TP_034038_19840613_20161004_01_T1,5,1984,6,13,0.013683758,0.140076871,0.1383,0.1101,0.2567,0.000187245,5625,0,
LT05_L1TP_035038_19840620_20161004_01_T1,5,1984,6,20,0.03151873,0.135901894,0.142,0.0173,0.2221,0.00099343,5625,90.61333333,
LT05_L1TP_035038_19840706_20161004_01_T1,5,1984,7,6,0.018379624,0.150245938,0.1465,0.1161,0.3339,0.000337811,5625,0,
LT05_L1TP_034038_19841104_20161004_01_T1,5,1984,11,4,0.017984439,0.157663396,0.1548,0.1089,0.2619,0.00032344,5625,0,
LT05_L1TP_034038_19841120_20161004_01_T1,5,1984,11,20,0.016502545,0.154859004,0.1519,0.1048,0.2474,0.000272334,5625,0,
