"ScientificName","CommonName","x","dates","county","waterbody","easting","northing","UTMZone","datum","lifestage","sex","disposition","museum","tag","fieldtag","habitat","other","comments"
"Amphispiza bilineata","Black-throated sparrow",3,2017-05-27,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",2,2017-11-19,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",1,2017-09-15,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",1,2017-04-01,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",2,2017-05-28,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",3,2017-04-30,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",1,2017-01-29,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Ammospermophilus harrisi","Harris's antelope squirrel",1,2017-07-22,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Campylorhynchus brunneicapillus","Cactus wren",1,2017-10-22,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Campylorhynchus brunneicapillus","Cactus wren",1,2017-11-19,"Cochise","",681200.79,3535287.25,"12S","","Adult","na","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",10,2017-02-25,"Cochise","",681200.79,3535287.25,"12S","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Dipodomys merriami","Merriam's kangaroo rat",1,2017-06-24,"Cochise","",681200.79,3535287.25,"12S","","Adult","Male","Dead","","","","desert scrubland","",""
