"Observer","ScientificName","CommonName","x","dates","county","waterbody","easting","northing","UTMZone","datum","location_uncertainty","lifestage","sex","disposition","museum","tag","fieldtag","habitat","other","comments"
"Diaz, Renata","Amphispiza bilineata","Black-throated sparrow",2,2019-02-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Amphispiza bilineata","Black-throated sparrow",1,2019-02-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Ammospermophilus harrisi","Harris's antelope squirrel",1,2019-05-05,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Ammospermophilus harrisi","Harris's antelope squirrel",1,2019-12-22,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Ammospermophilus harrisi","Harris's antelope squirrel",1,2019-12-21,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Ammospermophilus harrisi","Harris's antelope squirrel",1,2019-02-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Ammospermophilus harrisi","Harris's antelope squirrel",1,2019-06-09,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Campylorhynchus brunneicapillus","Cactus wren",1,2019-08-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",6,2019-05-05,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",1,2019-12-21,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Dead","","","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",5,2019-10-26,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",4,2019-09-05,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",7,2019-11-24,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",8,2019-04-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",3,2019-07-06,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",2,2019-09-05,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",7,2019-09-29,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",4,2019-09-04,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",5,2019-05-04,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",17,2019-02-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",10,2019-04-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",4,2019-07-06,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",9,2019-12-21,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",15,2019-03-01,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",6,2019-04-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",2,2019-09-29,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",1,2019-07-07,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",6,2019-10-26,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",11,2019-03-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",5,2019-03-01,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",4,2019-10-27,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",9,2019-03-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",2,2019-08-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",6,2019-07-07,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",6,2019-06-09,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",7,2019-04-02,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",4,2019-06-08,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",4,2019-09-04,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",7,2019-02-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",5,2019-06-08,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Female","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",6,2019-05-04,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",2,2019-08-04,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Diaz, Renata","Dipodomys merriami","Merriam's kangaroo rat",5,2019-05-05,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Released Alive","","PIT","","desert scrubland","",""
"Bledsoe, Ellen","Dipodomys merriami","Merriam's kangaroo rat",1,2019-04-03,"Cochise","",-109.0830584,31.93907884,"","DD","","Adult","Male","Dead","","","","desert scrubland","",""
