day,month,year,period,plot,sampled,effort,qcflag
16,7,1977,1,1,1,49,1
16,7,1977,1,2,1,49,1
16,7,1977,1,3,1,49,1
16,7,1977,1,4,1,49,1
16,7,1977,1,5,1,49,1
16,7,1977,1,6,1,49,1
16,7,1977,1,7,1,49,1
16,7,1977,1,8,1,49,1
17,7,1977,1,9,1,49,1
17,7,1977,1,10,1,49,1
17,7,1977,1,11,1,49,1
18,7,1977,1,12,1,49,1
17,7,1977,1,13,1,49,1
17,7,1977,1,14,1,49,1
17,7,1977,1,15,1,49,1
17,7,1977,1,16,1,49,1
17,7,1977,1,17,1,49,1
18,7,1977,1,18,1,49,1
18,7,1977,1,19,1,49,1
18,7,1977,1,20,1,49,1
18,7,1977,1,21,1,49,1
18,7,1977,1,22,1,49,1
18,7,1977,1,23,1,49,1
16,7,1977,1,24,0,0,1
19,8,1977,2,1,1,49,1
19,8,1977,2,2,1,49,1
19,8,1977,2,3,1,49,1
19,8,1977,2,4,1,49,1
20,8,1977,2,5,1,49,1
20,8,1977,2,6,1,49,1
19,8,1977,2,7,1,49,1
19,8,1977,2,8,1,49,1
19,8,1977,2,9,1,49,1
20,8,1977,2,10,1,49,1
20,8,1977,2,11,1,49,1
20,8,1977,2,12,1,49,1
21,8,1977,2,13,1,49,1
21,8,1977,2,14,1,49,1
21,8,1977,2,15,1,49,1
21,8,1977,2,16,1,49,1
21,8,1977,2,17,1,49,1
20,8,1977,2,18,1,49,1
20,8,1977,2,19,1,49,1
21,8,1977,2,20,1,49,1
21,8,1977,2,21,1,49,1
21,8,1977,2,22,1,49,1
20,8,1977,2,23,1,49,1
19,8,1977,2,24,0,0,1
13,9,1977,3,1,1,49,1
13,9,1977,3,2,1,49,1
13,9,1977,3,3,1,49,1
12,9,1977,3,4,1,49,1
11,9,1977,3,5,1,49,1
11,9,1977,3,6,1,49,1
12,9,1977,3,7,1,49,1
13,9,1977,3,8,1,49,1
13,9,1977,3,9,1,49,1
12,9,1977,3,10,1,49,1
12,9,1977,3,11,1,49,1
11,9,1977,3,12,1,49,1
13,9,1977,3,13,1,49,1
12,9,1977,3,14,1,49,1
13,9,1977,3,15,1,49,1
12,9,1977,3,16,1,49,1
12,9,1977,3,17,1,49,1
11,9,1977,3,18,1,49,1
11,9,1977,3,19,1,49,1
11,9,1977,3,20,1,49,1
11,9,1977,3,21,1,49,1
11,9,1977,3,22,1,49,1
12,9,1977,3,23,1,49,1
13,9,1977,3,24,0,0,1
16,10,1977,4,1,1,49,1
16,10,1977,4,2,1,49,1
17,10,1977,4,3,1,49,1
17,10,1977,4,4,1,49,1
18,10,1977,4,5,1,49,1
16,10,1977,4,6,1,49,1
17,10,1977,4,7,1,49,1
18,10,1977,4,8,1,49,1
16,10,1977,4,9,1,49,1
17,10,1977,4,10,1,49,1
17,10,1977,4,11,1,49,1
18,10,1977,4,12,1,49,1
16,10,1977,4,13,1,49,1
17,10,1977,4,14,1,49,1
17,10,1977,4,15,1,49,1
17,10,1977,4,16,1,49,1
17,10,1977,4,17,1,49,1
16,10,1977,4,18,1,49,1
17,10,1977,4,19,1,49,1
16,10,1977,4,20,1,49,1
17,10,1977,4,21,1,49,1
16,10,1977,4,22,1,49,1
17,10,1977,4,23,1,49,1
16,10,1977,4,24,0,0,1
12,11,1977,5,1,1,49,1
12,11,1977,5,2,1,49,1
13,11,1977,5,3,1,49,1
13,11,1977,5,4,1,49,1
14,11,1977,5,5,1,49,1
12,11,1977,5,6,1,49,1
