"year","month","day","maxtemp","mintemp","precipitation"
1980,1,1,,,
1980,1,2,11,-1,
1980,1,3,13,-2,
1980,1,4,,,
1980,1,5,,,
1980,1,6,,,
1980,1,7,,,
1980,1,8,,,
1980,1,9,13,5.5,0
1980,1,10,13,4,0
1980,1,11,12.5,3.5,0
1980,1,12,16.5,4,0
1980,1,13,19,4,0
1980,1,14,21.5,6,3.81
1980,1,15,16,2,0
1980,1,16,15,2.5,0
1980,1,17,17,5,0
1980,1,18,18,10,0
1980,1,19,17.5,-1.5,0
1980,1,20,12.5,5,0
1980,1,21,6,0,5.588
1980,1,22,3.5,-4,0
1980,1,23,4.5,-4,0
1980,1,24,12.5,-2.5,0
1980,1,25,17,0,0
1980,1,26,17,2,0
1980,1,27,17,3,0
1980,1,28,17,5,0
1980,1,29,17.5,9,0
1980,1,30,16,3.5,0
1980,1,31,5.5,1,5.842
1980,2,1,13,2,0
1980,2,2,18,3.5,0
1980,2,3,22.5,5,0
1980,2,4,23,7,0
1980,2,5,21,4,0
1980,2,6,21,4.5,0
1980,2,7,17.5,2,0
1980,2,8,1,-5,16.764
1980,2,9,2.5,-10,0
1980,2,10,6,-7,0
1980,2,11,4,-2,0
1980,2,12,13,3,0
1980,2,13,13,6.5,1.524
1980,2,14,13,9.5,6.858
1980,2,15,17.5,2.5,2.286
1980,2,16,14,6.5,0
1980,2,17,16.5,5,2.286
1980,2,18,21,8,0
1980,2,19,19,9,0
1980,2,20,16,1,0.508
1980,2,21,17,2,0
1980,2,22,17,3.5,0
1980,2,23,18,3,0
1980,2,24,19,4,0
1980,2,25,20.5,3,0
1980,2,26,22,7.5,0
1980,2,27,24,8,0
1980,2,28,24,6.5,0
1980,2,29,23,6.5,0
1980,3,1,16,1,0
1980,3,2,16,6.5,0
1980,3,3,21,5,0
1980,3,4,19,2.5,0
1980,3,5,21,2,0
1980,3,6,21.5,7,0
1980,3,7,19.5,1,0
1980,3,8,22,4,0
1980,3,9,19,8.5,0
1980,3,10,17,7,0
1980,3,11,17,4,5.08
1980,3,12,18,4,0
1980,3,13,21.5,6,0
1980,3,14,24.5,5,0
1980,3,15,23,7,0
1980,3,16,20,1.5,0
1980,3,17,15,0,0
1980,3,18,21.5,10,0
1980,3,19,17,-1,0
1980,3,20,18.5,3,0
1980,3,21,24.5,13,0
1980,3,22,20,3,0
1980,3,23,16,3,0
1980,3,24,18,5,0
1980,3,25,19.5,2.5,0
1980,3,26,20,2.5,0
1980,3,27,14,0.5,0
1980,3,28,15.5,1,0
1980,3,29,17.5,2,0
1980,3,30,17,8.5,0
1980,3,31,18,-0.5,0
1980,4,1,22,1.5,0
1980,4,2,18.5,1,0
1980,4,3,21,5.5,0
1980,4,4,26.5,7,0
1980,4,5,25.5,7,0
1980,4,6,24.5,8,0
1980,4,7,25,7,0
1980,4,8,25.5,7,0
1980,4,9,28.5,10,0
1980,4,10,29,9,0
1980,4,11,26,4,0
1980,4,12,9,-2,0
1980,4,13,14,-2,0
1980,4,14,23,10,0
1980,4,15,28,10,0
1980,4,16,28.5,11,0
1980,4,17,28,10,0
1980,4,18,29.5,11,0
1980,4,19,31,16.5,0
1980,4,20,30,16,0.254
1980,4,21,28,11,0
1980,4,22,27,6,0
1980,4,23,21,3,0
1980,4,24,15,8,0
1980,4,25,24,6.5,0
1980,4,26,25,12,0
1980,4,27,29,12,0
1980,4,28,30,15,0
1980,4,29,25,8,0
1980,4,30,20,4,0.254
1980,5,1,20,11,0.254
1980,5,2,25,11,0.254
1980,5,3,24,8,0
1980,5,4,27,11,0
1980,5,5,29,12,0
1980,5,6,28,15,0
1980,5,7,27,15,0
1980,5,8,29,13,0
1980,5,9,30,13,0
1980,5,10,28,14,0
1980,5,11,26,5,0
1980,5,12,26,8,0
1980,5,13,27.5,10,0
1980,5,14,27.5,10,0
1980,5,15,24,7,0
1980,5,16,26,11,0
1980,5,17,29,15,0
1980,5,18,30.5,12,0
1980,5,19,31,18,0
1980,5,20,34,14,0
1980,5,21,33,15,0
1980,5,22,31.5,11,0
